Nazwa aplikacji;Nazwa firmy;Koszty;Kraj;Wersje aplikacji;Data;ImiÍ;P≥ÍÊ;Przedrostek;Stanowisko
Keylex;Brainverse;$7441.52;Vietnam;09.03.2002;07.12.2015;Dalt;Male;Sr;Safety Technician IV
Hatity;Browsezoom;$9146.36;Argentina;0.1.0;3/27/2016;Gilbertine;Female;Sr;Research Assistant I
Redhold;Skynoodle;$8118.53;Canada;08.08.2004;5/19/2021;Cecilia;Female;II;Analog Circuit Design manager
Keylex;Yambee;$9395.24;New Zealand;0.96;9/19/2022;Anthiathia;Female;III;Nurse
Matsoft;Yata;$7124.50;China;09.02.2002;03.01.2015;Emlen;Male;Sr;Chief Design Engineer
Voyatouch;Oyoba;$8921.71;Nigeria;0.7.4;9/26/2021;Brandon;Male;Jr;Senior Developer
Temp;Minyx;$7628.87;Indonesia;lut.20;3/14/2021;Yasmeen;Female;II;Account Coordinator
Stim;Jaxspan;$9675.32;Indonesia;05.mar;10.08.2018;Isac;Male;III;Financial Advisor
Vagram;Jabbersphere;$9551.39;Poland;sty.75;3/27/2019;Eveleen;Female;Jr;Geologist IV
Temp;Twitterbridge;$7239.81;Iran;0.71;5/30/2019;Owen;Male;Jr;Product Engineer
Opela;Blogtag;$8679.32;China;02.08.2003;6/14/2021;Elie;Female;Sr;Structural Engineer
Treeflex;Innotype;$6166.33;Turkey;07.cze;12.01.2019;Amelie;Female;Sr;Dental Hygienist
Zoolab;Buzzshare;$7512.40;Pakistan;09.sty;3/30/2021;Roz;Female;Jr;Analyst Programmer
Tres-Zap;Skyvu;$8129.05;China;0.17;08.09.2022;Bernie;Male;II;Paralegal
Span;Wordtune;$7601.03;China;0.4.3;09.04.2015;Morty;Male;III;Payment Adjustment Coordinator
Bigtax;Camido;$8421.34;Venezuela;0.2.3;5/21/2019;Adolpho;Male;II;Information Systems Manager
Rank;Tazzy;$8883.34;Brazil;02.04.2000;3/24/2018;Emerson;Male;III;Structural Analysis Engineer
Zamit;Jamia;$7463.85;Burkina Faso;02.lut;9/14/2017;Ambros;Male;IV;Recruiting Manager
Y-find;Yodoo;$9281.97;Philippines;wrz.43;1/18/2017;Dehlia;Female;Jr;Clinical Specialist
Ronstring;Oloo;$8116.46;Indonesia;0.7.1;12/26/2018;Ashley;Male;II;Design Engineer
Trippledex;Yodel;$8343.51;Brazil;cze.59;2/25/2018;Cleve;Male;II;Senior Financial Analyst
Flowdesk;Gabcube;$8266.16;China;0.2.3;12/31/2021;Joni;Female;III;Account Representative II
Voyatouch;Chatterpoint;$6635.36;China;0.9.0;4/30/2021;Jenni;Female;Jr;Nurse
Konklux;Yabox;$6349.46;Estonia;0.60;1/22/2015;Ber;Male;Sr;Account Representative IV
Aerified;Kwimbee;$9653.99;United States;08.sie;9/14/2021;Ilse;Female;III;Geological Engineer
Otcom;Avamba;$7292.13;Latvia;07.lip;09.07.2019;Rosalinda;Female;Jr;Cost Accountant
Daltfresh;Ntags;$9627.48;Philippines;0.5.7;11.09.2018;Stinky;Male;II;Software Consultant
Gembucket;Zoovu;$9964.37;China;06.05.2000;8/15/2015;Carlos;Male;III;Account Executive
Domainer;Youtags;$7375.44;Ukraine;05.04.2008;11.03.2020;Kristina;Female;II;Executive Secretary
Veribet;Flashspan;$6997.78;Cameroon;0.6.8;4/28/2021;Romain;Male;Jr;Actuary
Tresom;Feedspan;$7842.21;Palau;04.sie;12.06.2015;Elberta;Female;Jr;Geological Engineer
Tres-Zap;Skimia;$6209.09;China;09.wrz;6/15/2020;Hartwell;Male;Jr;Human Resources Manager
Temp;Quinu;$9590.44;Bangladesh;06.lut;10.09.2020;Danni;Female;IV;Quality Engineer
Lotlux;Latz;$7636.44;China;0.5.4;03.02.2018;Kipp;Female;II;Human Resources Assistant IV
Job;Agimba;$7128.85;France;kwi.58;1/23/2016;Angel;Male;III;VP Marketing
Quo Lux;Devpoint;$7004.45;United Kingdom;0.91;9/28/2019;Kalila;Female;III;Accountant IV
Alpha;Fanoodle;$7836.90;China;02.06.2005;11/23/2021;Burton;Male;II;Senior Financial Analyst
Ventosanzap;Lazz;$7419.50;Indonesia;05.02.2006;06.02.2022;Lilllie;Female;III;Teacher
Fix San;Mymm;$8561.53;Indonesia;01.09.2008;1/27/2017;Kathy;Female;II;Product Engineer
Home Ing;Realfire;$7381.68;Madagascar;sie.79;9/25/2015;Krissy;Female;IV;Director of Sales
Treeflex;Devshare;$6273.23;Indonesia;0.53;5/16/2019;Dee dee;Female;II;Operator
Gembucket;Zoozzy;$6822.40;Lithuania;06.sie;1/22/2022;Gweneth;Female;Sr;Social Worker
Cardguard;Feedfish;$9928.65;China;wrz.33;6/17/2020;Lancelot;Male;III;Product Engineer
Tampflex;Buzzster;$8967.22;China;7.00;6/25/2019;Isidor;Male;IV;Pharmacist
Konklux;Zooxo;$6263.42;China;0.5.5;3/18/2020;Ralph;Male;II;Senior Cost Accountant
Viva;Devcast;$6441.06;Kosovo;05.cze;2/27/2017;Stanley;Male;IV;Statistician III
Domainer;Voolith;$8580.59;China;02.wrz;02.02.2022;Stacie;Female;Sr;Web Developer II
Greenlam;Avamba;$7452.98;Norway;03.08.2009;06.06.2018;Spencer;Male;III;Media Manager III
Kanlam;Rhybox;$7997.66;Finland;08.sty;08.05.2022;Monah;Female;II;Quality Engineer
Viva;Jaloo;$7752.73;Guatemala;lip.41;4/13/2019;Alfie;Female;Sr;Legal Assistant
Voltsillam;Quinu;$6802.52;China;0.2.9;3/27/2018;Alejandra;Female;IV;Account Representative III
Trippledex;Fliptune;$6981.75;Russia;09.03.2002;8/25/2021;Nadean;Female;II;Chief Design Engineer
Duobam;Flipstorm;$7728.41;Belarus;08.lip;10/17/2019;Kristin;Female;II;Senior Financial Analyst
Zathin;Yombu;$6715.11;China;lut.27;3/20/2017;Carol;Female;IV;Research Assistant IV
Subin;Mydeo;$6199.04;Russia;cze.63;07.02.2018;Ilise;Female;II;Senior Quality Engineer
Overhold;Aibox;$6311.37;Indonesia;01.sie;1/29/2018;Eddie;Male;II;Budget/Accounting Analyst I
Cookley;Gabtune;$7807.25;China;cze.27;10.08.2015;Alfred;Male;II;Professor
Veribet;Blognation;$6926.57;France;0.17;04.01.2016;Giustino;Male;Sr;Senior Quality Engineer
Tresom;Skidoo;$6986.38;China;04.07.2007;3/18/2016;Maryann;Female;Sr;Structural Engineer
Sub-Ex;Skilith;$9948.82;Czech Republic;08.lip;4/25/2020;Joachim;Male;III;Web Designer IV
Zamit;Thoughtmix;$8224.44;Armenia;0.37;05.06.2015;Pearla;Female;Jr;Assistant Media Planner
Alphazap;Vimbo;$9651.69;Poland;0.1.3;02.03.2018;Hilliary;Female;III;Social Worker
Latlux;Mybuzz;$8606.24;Czech Republic;07.09.2006;10/26/2022;Emelyne;Female;III;Software Consultant
Domainer;Twimbo;$8414.85;Portugal;0.8.1;1/24/2016;Bradney;Male;Jr;Human Resources Manager
Quo Lux;Avamba;$7659.12;Russia;wrz.71;04.04.2021;Christophe;Male;Jr;Internal Auditor
Alphazap;Janyx;$6149.87;China;kwi.41;9/27/2015;Rowan;Male;IV;Senior Financial Analyst
Tin;Youspan;$6969.47;Russia;0.80;10.10.2018;Avrom;Male;II;Programmer Analyst I
Viva;Flashspan;$8038.23;Sweden;0.66;12/22/2016;Gusella;Female;Jr;Environmental Tech
Konklab;Jamia;$9536.98;Japan;0.3.4;05.05.2021;Francoise;Female;IV;Software Consultant
Zontrax;Katz;$7642.59;Russia;06.sie;11.05.2015;Hussein;Male;IV;Data Coordiator
Pannier;Brainverse;$6300.00;Ethiopia;0.67;10.08.2019;Caleb;Male;Jr;Social Worker
Andalax;Ainyx;$7521.92;Vietnam;maj.57;9/21/2015;Jeannine;Female;IV;Office Assistant III
Ventosanzap;Kwideo;$6430.27;Indonesia;02.lip;11/25/2020;Oralle;Female;Sr;Senior Financial Analyst
Latlux;Gigaclub;$9113.75;United States;kwi.63;7/29/2021;Lars;Male;IV;Speech Pathologist
Job;Wikizz;$7297.69;Philippines;09.lip;12/20/2021;Winslow;Male;Sr;Tax Accountant
Kanlam;Tagpad;$9620.33;Indonesia;06.07.2005;7/19/2018;Cameron;Male;III;Account Executive
Vagram;Meevee;$8172.58;Mongolia;01.03.2004;3/22/2016;Garrett;Male;IV;Clinical Specialist
Zaam-Dox;Oyoloo;$7339.54;China;wrz.62;8/18/2019;Laura;Female;II;Chemical Engineer
Treeflex;Yambee;$9617.07;Peru;1.0;2/17/2019;Trefor;Male;II;Nurse Practicioner
Tin;Teklist;$7780.07;Sweden;0.2.1;2/19/2018;Elvis;Male;Sr;Research Nurse
Sonsing;Skidoo;$7062.04;Myanmar;07.08.2000;12.04.2014;Obed;Male;III;Senior Financial Analyst
Overhold;Roombo;$7366.07;Poland;07.sie;12.02.2015;Jessamine;Female;Sr;Software Consultant
Aerified;Youspan;$9282.26;Guatemala;0.48;11.11.2022;Christy;Male;Sr;Recruiter
Flexidy;Geba;$6119.55;Canada;0.9.9;5/23/2021;Dianemarie;Female;IV;Database Administrator IV
Subin;Gabcube;$6931.19;Thailand;09.06.2005;04.11.2022;Dorry;Female;III;Geological Engineer
Span;Zoomdog;$9964.18;Ukraine;maj.46;6/25/2020;Baryram;Male;Sr;VP Sales
Sonsing;Voomm;$9289.49;Greece;02.03.2006;02.03.2016;Netti;Female;Sr;Sales Associate
Temp;Thoughtsphere;$9342.35;China;0.9.7;06.02.2021;Whit;Male;IV;Administrative Assistant III
Fix San;Yodoo;$9094.73;China;0.2.6;11/27/2021;Terrill;Male;Sr;Administrative Assistant IV
Flowdesk;Jabberstorm;$9955.37;China;mar.54;3/14/2019;Beth;Female;Jr;Media Manager I
Fix San;Agivu;$7856.90;Greece;8.0;12.12.2019;Valentina;Female;II;Administrative Officer
Bitwolf;Meemm;$6941.87;Indonesia;02.lut;4/28/2018;Kylynn;Female;Jr;Senior Developer
Gembucket;Dabjam;$7139.70;Japan;02.wrz;12/31/2019;Dolly;Female;Jr;Actuary
Cardify;Devify;$6299.64;Colombia;0.8.4;3/14/2018;Dannie;Female;III;Dental Hygienist
Tresom;Eimbee;$7493.18;Philippines;02.02.2008;01.11.2018;Ellery;Male;Jr;Account Coordinator
Greenlam;Leenti;$9227.05;Portugal;0.46;05.03.2019;Dottie;Female;II;Automation Specialist III
Viva;Yozio;$8438.79;China;09.kwi;09.11.2016;Ferdinanda;Female;Jr;VP Sales
Matsoft;Thoughtblab;$9172.41;Portugal;0.49;4/19/2017;Michael;Male;II;VP Sales
Zathin;Innotype;$8147.01;Japan;wrz.25;12.10.2021;Thekla;Female;Jr;Mechanical Systems Engineer
Fix San;Demimbu;$9902.72;Slovenia;sty.56;05.01.2016;Ximenez;Male;Sr;Business Systems Development Analyst
Bitchip;Meeveo;$9832.55;China;0.65;5/26/2018;Granger;Male;IV;Senior Cost Accountant
Namfix;Centimia;$6595.76;Tanzania;0.41;11/13/2018;Ramsey;Male;II;Assistant Manager
Home Ing;Kwimbee;$9975.24;China;0.1.8;02.01.2019;Godfry;Male;Jr;Staff Accountant I
Lotlux;Kanoodle;$6106.36;China;02.06.2004;7/27/2022;Drud;Male;III;Librarian
Tampflex;Feedfish;$6538.42;Malaysia;0.7.9;5/31/2019;Tasia;Female;IV;Graphic Designer
Redhold;Midel;$7719.38;Sweden;0.52;8/21/2015;Alisa;Female;II;Programmer II
Mat Lam Tam;Yamia;$6739.69;Indonesia;0.90;03.12.2016;Ernie;Male;Sr;Clinical Specialist
Flexidy;Lazz;$9522.46;Indonesia;sie.56;1/27/2015;Beck;Male;III;Research Nurse
Home Ing;Voonyx;$6224.96;Indonesia;05.04.2006;12/26/2018;Joachim;Male;III;Executive Secretary
Asoka;Avamm;$6644.71;China;sie.35;11/27/2021;Kenn;Male;IV;Engineer III
Viva;Skynoodle;$6796.06;Norway;0.7.2;10/17/2020;Troy;Male;III;Editor
Latlux;Jabbersphere;$6471.60;Afghanistan;lip.44;01.04.2019;Baxter;Male;Sr;Help Desk Operator
Namfix;Twimbo;$7039.24;Peru;lut.82;2/24/2022;Marybeth;Female;Sr;Senior Developer
It;Snaptags;$7191.80;France;03.lut;4/29/2020;Remy;Female;III;General Manager
Redhold;Realblab;$6199.41;Colombia;0.1.5;9/18/2017;Bradly;Male;II;Operator
Zontrax;Fadeo;$9574.10;Russia;04.sty;2/21/2019;Deane;Female;IV;Marketing Assistant
Zamit;Dabjam;$9955.29;China;04.08.2002;06.05.2018;Parrnell;Male;Jr;Media Manager III
Pannier;Skidoo;$8601.57;Comoros;0.5.9;2/27/2018;Gibby;Male;IV;Analog Circuit Design manager
Temp;Divape;$6433.59;Mexico;0.59;08.12.2020;Shannon;Male;II;General Manager
Stringtough;Chatterbridge;$9504.26;Greece;sie.35;10/13/2016;Danielle;Female;Jr;Payment Adjustment Coordinator
Regrant;Flashset;$7997.57;China;09.wrz;8/22/2020;Babbie;Female;Jr;Environmental Specialist
Aerified;Jayo;$9359.70;China;5.0.0;05.09.2019;Netti;Female;III;Senior Quality Engineer
Biodex;Shuffledrive;$7796.87;China;03.sie;02.09.2016;Simonette;Female;Jr;Nuclear Power Engineer
Y-Solowarm;Bubblemix;$7596.57;China;02.04.2002;05.08.2021;Gottfried;Male;III;Project Manager
Transcof;Flashdog;$6135.11;Spain;0.62;11/26/2018;Richmound;Male;II;Staff Accountant I
Zontrax;Zoonder;$9250.24;Macedonia;0.1.4;09.04.2019;Sayer;Male;Sr;Operator
Prodder;Browsebug;$7540.82;United States;0.58;12/29/2018;Emeline;Female;II;Administrative Officer
Rank;Thoughtstorm;$7228.90;China;04.06.2008;12/28/2014;Andria;Female;Jr;Automation Specialist IV
Matsoft;Shuffletag;$6024.92;Brazil;07.06.2001;02.02.2022;Zilvia;Female;IV;Structural Engineer
Fintone;Skimia;$8241.37;Luxembourg;0.72;03.12.2020;Garik;Male;Sr;Tax Accountant
Bitchip;Rooxo;$7450.67;Albania;0.18;10/25/2016;Dunn;Male;Sr;Occupational Therapist
Stringtough;Meembee;$9978.86;Indonesia;09.kwi;04.08.2020;Nye;Male;III;Senior Developer
Subin;Wikibox;$6432.60;Serbia;0.54;3/21/2020;Orsa;Female;IV;Biostatistician IV
Ventosanzap;Roombo;$9651.21;United States;0.65;01.07.2022;Blinny;Female;Jr;Staff Scientist
Alpha;Meevee;$6674.66;Uganda;08.09.2008;05.10.2018;Agna;Female;II;Environmental Tech
Flexidy;Yakitri;$6863.90;Mexico;0.9.2;05.01.2021;Nicola;Male;II;Automation Specialist I
Transcof;Myworks;$6333.01;Japan;05.08.2008;2/19/2021;Pepe;Male;II;Associate Professor
Voyatouch;Meevee;$7735.06;Afghanistan;03.sty;8/23/2022;Devora;Female;Sr;Structural Analysis Engineer
Vagram;Fatz;$6038.50;Libya;0.5.8;05.01.2018;Clovis;Female;Jr;Junior Executive
Y-Solowarm;Devify;$7360.56;Philippines;0.90;06.01.2016;Stevy;Male;Jr;Staff Accountant IV
It;Mynte;$6309.36;Indonesia;0.3.5;7/21/2015;Somerset;Male;IV;VP Quality Control
Konklab;Jaloo;$8419.56;Indonesia;0.59;2/18/2017;Celestyn;Female;III;VP Sales
Flowdesk;Brainsphere;$8793.60;Panama;0.14;11.07.2015;Sheppard;Male;IV;Product Engineer
Zamit;Skinte;$6027.94;Russia;maj.32;07.05.2019;Gretchen;Female;II;Community Outreach Specialist
Kanlam;Skinix;$8270.03;Philippines;01.05.2004;11.08.2016;Arch;Male;Sr;Mechanical Systems Engineer
Alpha;Twitterbridge;$9598.57;Poland;08.paü;05.10.2019;Oberon;Male;II;Assistant Manager
Toughjoyfax;Thoughtbeat;$8652.30;Japan;0.56;1/21/2018;Jaime;Female;Jr;Technical Writer
Viva;Mybuzz;$8691.46;Colombia;09.kwi;11/27/2014;Willdon;Male;II;VP Quality Control
Zaam-Dox;Realcube;$7140.97;Indonesia;sty.84;10.05.2020;Diana;Female;II;Social Worker
Keylex;Voolith;$7687.05;China;kwi.26;1/19/2016;Paloma;Female;Jr;Teacher
Viva;Midel;$7467.75;Russia;06.08.2001;1/16/2017;Lexine;Female;Jr;Budget/Accounting Analyst III
Y-Solowarm;Youtags;$6010.86;China;0.39;12/17/2021;Madison;Male;III;Analyst Programmer
Aerified;Leenti;$6247.75;Indonesia;0.11;11.06.2020;Hortense;Female;II;Tax Accountant
Hatity;Wordify;$7805.96;Portugal;0.1.3;03.06.2019;Coleman;Male;Sr;Database Administrator II
Flowdesk;Photolist;$6630.28;Somalia;08.06.2000;08.06.2019;Allister;Male;IV;Analyst Programmer
Flexidy;Rhynoodle;$8061.19;China;01.07.2006;01.12.2021;Sigvard;Male;II;Structural Engineer
Redhold;Realmix;$7383.92;Panama;0.9.8;6/20/2021;Cordy;Male;II;Software Engineer IV
Lotlux;Yakidoo;$6076.91;France;wrz.65;3/17/2015;Cary;Female;III;Occupational Therapist
Cardify;Podcat;$9683.37;Russia;0.14;8/14/2020;Ewart;Male;III;Senior Sales Associate
Wrapsafe;Quinu;$7023.08;Indonesia;0.2.3;5/13/2022;Worth;Male;II;Geological Engineer
Alpha;Feedmix;$8867.38;Sudan;07.maj;02.08.2022;Leonanie;Female;III;Help Desk Technician
Bigtax;Babbleopia;$9213.77;Sweden;0.7.5;11/25/2021;Jayne;Female;IV;Staff Accountant III
Veribet;Lazzy;$9035.10;Brunei;08.kwi;10.10.2018;Konstance;Female;III;Senior Financial Analyst
Pannier;Meevee;$6530.01;France;06.08.2002;9/15/2017;Welby;Male;Jr;Budget/Accounting Analyst IV
Zathin;DabZ;$9078.88;China;7.0.7;06.04.2020;Krispin;Male;IV;Dental Hygienist
Home Ing;Lazzy;$8753.32;Japan;06.kwi;12/13/2014;Olia;Female;Jr;Pharmacist
Fintone;Jabbersphere;$9560.81;Thailand;02.01.2006;5/16/2015;Celinda;Female;II;Executive Secretary
Fintone;Zoomzone;$7404.83;Mongolia;7.0;10.10.2017;Karalynn;Female;Jr;Account Executive
Tin;Viva;$7911.90;Sweden;0.4.8;07.05.2019;Jarrid;Male;IV;Software Consultant
Domainer;Katz;$6794.52;China;0.1.6;05.01.2017;Carleen;Female;IV;Automation Specialist II
Sub-Ex;Buzzster;$8150.77;Chile;04.01.2006;5/28/2022;Judi;Female;II;Safety Technician III
Greenlam;Leenti;$6879.91;Serbia;lut.59;08.10.2019;Maria;Female;IV;Internal Auditor
Bitwolf;Ainyx;$8471.84;China;03.07.2009;2/21/2016;Emmery;Male;II;Executive Secretary
Prodder;Leenti;$6435.46;Portugal;07.03.2002;07.03.2016;Jennica;Female;IV;Administrative Officer
Home Ing;Einti;$7871.55;China;wrz.53;5/13/2022;Clemence;Female;Sr;Web Developer IV
Regrant;Devbug;$8634.09;China;0.5.9;3/16/2021;Arron;Male;Sr;Office Assistant III
Alphazap;Bluezoom;$9838.61;United States;0.2.3;2/25/2019;Ximenes;Male;IV;Technical Writer
Zontrax;Skyndu;$6387.84;Saudi Arabia;kwi.41;5/24/2021;Deborah;Female;III;Project Manager
Subin;Skinte;$7742.08;Poland;0.22;12.09.2020;Kerry;Male;Sr;Budget/Accounting Analyst II
Ronstring;Thoughtblab;$6315.75;China;0.7.3;12/14/2018;Paco;Male;II;Clinical Specialist
Fix San;Jazzy;$8288.24;Philippines;cze.41;8/26/2016;Erny;Male;III;Senior Sales Associate
Cookley;Divanoodle;$8391.92;Ukraine;8.00;06.10.2019;Cullie;Male;II;Marketing Manager
Flowdesk;Browsezoom;$6302.68;Indonesia;02.maj;02.12.2015;Alicea;Female;II;Human Resources Manager
Prodder;Bubblemix;$6630.14;Palau;01.lip;5/25/2015;Jasmina;Female;III;Physical Therapy Assistant
Bytecard;Rhybox;$6225.12;Philippines;0.8.7;9/29/2017;Keenan;Male;Sr;Safety Technician I
Namfix;Shufflester;$9692.33;United States;lut.66;1/22/2021;Richie;Male;Jr;Structural Analysis Engineer
Mat Lam Tam;Edgepulse;$9831.76;France;0.66;2/20/2022;Mose;Male;IV;Analog Circuit Design manager
Overhold;Rhynoodle;$6879.47;Sweden;01.02.2009;1/23/2020;Lazare;Male;Jr;Civil Engineer
Tampflex;Eadel;$7074.90;Portugal;02.maj;01.07.2022;Cicely;Female;III;Environmental Tech
Ventosanzap;Twiyo;$8683.82;Brazil;0.5.6;3/19/2022;Gusti;Female;II;VP Quality Control
Bitwolf;Bubbletube;$7126.21;Spain;08.cze;05.03.2021;Turner;Male;III;Business Systems Development Analyst
Subin;Plajo;$9874.77;China;0.54;11.11.2018;Brose;Male;III;VP Accounting
Opela;Brightdog;$6465.51;Nigeria;0.29;10.02.2020;Shellie;Female;Jr;Senior Sales Associate
Rank;Bubblemix;$6988.76;China;09.05.2002;11/28/2017;Tedd;Male;Jr;VP Accounting
Viva;Abata;$8511.39;China;0.75;6/27/2017;Karim;Male;Sr;Legal Assistant
Namfix;Rhyzio;$9838.59;Russia;0.4.1;02.12.2018;See;Male;Jr;Recruiting Manager
Quo Lux;Dazzlesphere;$9661.87;China;05.maj;09.10.2016;Goldie;Female;Sr;Media Manager III
Y-Solowarm;Yotz;$7840.72;Moldova;kwi.89;3/15/2019;Hermie;Male;II;Executive Secretary
Toughjoyfax;Tekfly;$8390.85;Canada;08.05.2005;4/24/2022;Jasmina;Female;Sr;Payment Adjustment Coordinator
Fixflex;Lazzy;$6815.19;Russia;lut.76;3/23/2016;Yvor;Male;II;Web Developer I
Rank;Chatterpoint;$6200.15;Indonesia;0.2.1;11.03.2021;De witt;Male;II;Developer III
Tin;Riffwire;$6653.07;Indonesia;01.cze;6/20/2021;Jefferey;Male;Sr;Mechanical Systems Engineer
Home Ing;Brainverse;$6544.20;Philippines;sty.64;11/14/2020;Nadya;Female;III;Social Worker
Lotstring;Tagfeed;$6392.92;Brazil;01.05.2006;11/29/2017;Terri;Male;II;Software Consultant
Konklab;Meetz;$7926.54;Indonesia;0.68;1/27/2017;Keen;Male;III;Software Consultant
Latlux;Browsedrive;$7918.49;Portugal;07.lip;3/28/2017;Jocelyn;Female;Jr;Media Manager III
Gembucket;Ailane;$7882.60;Ukraine;maj.76;11/27/2019;Tiphani;Female;III;Quality Control Specialist
Wrapsafe;Twitterlist;$6723.62;Philippines;05.lip;7/18/2015;Nicko;Male;II;Budget/Accounting Analyst III
Flowdesk;Voomm;$8013.30;China;0.7.6;9/13/2021;Domeniga;Female;Sr;Environmental Tech
Tempsoft;Latz;$6477.58;Indonesia;02.lut;8/18/2017;Fielding;Male;III;Physical Therapy Assistant
Gembucket;Feednation;$9646.51;Russia;09.lut;3/16/2019;Ameline;Female;Sr;Payment Adjustment Coordinator
Lotstring;Quinu;$8462.04;Argentina;wrz.46;01.02.2022;Jobye;Female;IV;Account Executive
Kanlam;Chatterbridge;$8442.23;Venezuela;0.14;04.04.2016;Rea;Female;II;Tax Accountant
Stringtough;Eabox;$6452.25;China;04.08.2000;07.02.2015;Ave;Male;III;Marketing Assistant
Y-find;Topiclounge;$7842.73;France;0.5.4;7/18/2020;Wally;Male;III;Administrative Officer
Otcom;Gigazoom;$7593.39;Ukraine;sty.50;03.03.2018;Gilemette;Female;III;Legal Assistant
Overhold;Voolia;$8240.30;Peru;02.cze;1/29/2016;Karlens;Male;Sr;Teacher
Y-Solowarm;Flipopia;$8924.89;Russia;0.5.3;9/19/2019;Abran;Male;IV;VP Quality Control
Lotlux;Avamba;$6330.54;China;0.30;12.02.2020;Ferrel;Male;Sr;Professor
Overhold;Katz;$8568.56;France;maj.55;05.08.2021;Batsheva;Female;Sr;Business Systems Development Analyst
Sub-Ex;Youspan;$9080.22;Israel;0.25;4/25/2019;Harlene;Female;III;Project Manager
Tin;Demivee;$7152.37;China;0.78;9/29/2021;Nial;Male;Sr;Senior Cost Accountant
Sub-Ex;Skiptube;$8493.98;China;03.sty;05.08.2020;Merridie;Female;IV;Registered Nurse
Temp;Shuffledrive;$9083.24;Madagascar;0.4.0;5/15/2016;Mead;Male;III;Librarian
Veribet;Devpulse;$7203.21;Morocco;0.75;06.05.2019;Aron;Male;Sr;Junior Executive
Y-Solowarm;Eimbee;$8747.80;Iran;0.36;08.12.2018;Kylynn;Female;III;Recruiter
Fintone;Eadel;$9010.42;China;08.cze;2/22/2020;Selene;Female;Sr;Senior Financial Analyst
Andalax;Eadel;$8840.21;Russia;04.lut;7/18/2020;Eryn;Female;Jr;Associate Professor
Lotlux;Aibox;$6574.71;Indonesia;0.70;11/28/2015;Jenna;Female;II;Statistician III
Bitchip;Feedspan;$8689.36;South Africa;0.52;05.05.2018;Guillema;Female;II;Tax Accountant
Treeflex;Photojam;$8230.46;Philippines;0.89;7/14/2017;Edy;Female;III;Civil Engineer
Otcom;Tagpad;$6078.60;Indonesia;0.7.2;12/27/2017;Sarina;Female;III;Office Assistant I
Tres-Zap;Twinder;$9020.82;Palestinian Territory;0.6.8;2/19/2015;Hunfredo;Male;III;Legal Assistant
Vagram;Divavu;$7470.12;Greece;0.6.6;12/13/2015;Patricia;Female;IV;Payment Adjustment Coordinator
Alpha;Quaxo;$6649.48;Finland;0.42;1/31/2022;Orran;Male;Jr;Professor
Toughjoyfax;Twitternation;$7070.20;Nigeria;lut.25;6/19/2016;Glynnis;Female;II;Marketing Manager
Temp;Browseblab;$7033.42;China;lip.63;7/18/2017;Lauralee;Female;Sr;Nurse Practicioner
Toughjoyfax;Blogpad;$8621.99;Indonesia;3.0;11/29/2021;Amil;Female;Jr;Civil Engineer
Tres-Zap;Einti;$6842.32;Bosnia and Herzegovina;0.44;8/20/2017;Ermin;Male;II;Senior Financial Analyst
Kanlam;Edgeclub;$9710.30;China;lip.73;11.02.2018;Annabal;Female;III;Computer Systems Analyst III
Subin;Thoughtmix;$8940.83;Poland;8.0.7;3/15/2015;Alikee;Female;IV;Dental Hygienist
Bitwolf;Realbridge;$8438.26;China;0.69;10/29/2016;Garrard;Male;II;Information Systems Manager
Veribet;Wikido;$8792.20;Argentina;5.0.7;8/14/2017;Tamiko;Female;III;Recruiter
Kanlam;Voomm;$9149.14;Poland;cze.38;03.11.2015;Tymon;Male;Jr;Actuary
Kanlam;Skinder;$7196.80;China;sie.84;1/18/2017;Zahara;Female;II;Registered Nurse
Bigtax;Rooxo;$6061.29;Ukraine;01.wrz;12.02.2017;Edouard;Male;Sr;Editor
Ventosanzap;Thoughtsphere;$8536.94;Sudan;0.4.1;8/19/2018;Elisabet;Female;Jr;Systems Administrator IV
Bitchip;Skinder;$7054.63;Indonesia;0.89;09.04.2019;Ewen;Male;IV;VP Marketing
Job;Jaxworks;$7303.39;China;06.06.2003;12.05.2017;Christopher;Male;III;Accounting Assistant I
Redhold;Skynoodle;$8129.34;Indonesia;0.3.3;1/25/2019;Towney;Male;IV;Recruiter
Ventosanzap;Ooba;$8077.38;France;02.lut;10/19/2017;Nollie;Female;Jr;VP Product Management
Tres-Zap;Blogpad;$6291.61;China;02.05.2008;8/22/2016;Thomasa;Female;Sr;Speech Pathologist
Cardguard;Eayo;$9157.96;Morocco;0.1.2;4/29/2018;Bailie;Male;III;Chemical Engineer
Rank;Gigabox;$9431.53;Indonesia;0.98;06.04.2020;Kare;Female;IV;Teacher
Keylex;Brainlounge;$8045.34;Democratic Republic of the Congo;04.08.2002;11.11.2022;La verne;Female;III;Nurse
Rank;Ntag;$8932.12;China;03.lut;2/17/2021;Issiah;Male;IV;Operator
Wrapsafe;Demizz;$9451.56;Macedonia;09.03.2008;05.07.2020;Wilona;Female;II;Administrative Assistant III
Sonsing;Eayo;$7400.18;Philippines;09.06.2000;4/19/2022;Bernadette;Female;Sr;VP Sales
Alpha;Thoughtworks;$9255.40;South Africa;0.3.6;07.09.2016;Trescha;Female;Sr;Electrical Engineer
Temp;Babblestorm;$6287.16;Russia;06.cze;12.06.2015;Jaime;Female;III;Help Desk Operator
